ticker,cik,filing_count,earliest_date,latest_date,form_types
AAPL,0000320193,359,1994-01-26,2026-05-01,"10-Q, 8-K, 10-K"
MSFT,0000789019,409,1994-02-14,2026-06-05,"8-K, 10-Q, 10-K"
GOOGL,0001652044,154,2015-10-22,2026-06-11,"8-K, 10-Q, 10-K"
META,0001326801,187,2012-02-01,2026-05-29,"8-K, 10-Q, 10-K, S-1"
AMZN,0001018724,379,1997-03-24,2026-06-12,"8-K, 10-Q, 10-K, S-1"
NVDA,0001045810,347,1998-03-06,2026-06-30,"8-K, 10-Q, 10-K, S-1"
INTC,0000050863,573,1994-03-25,2026-05-15,"8-K, 10-Q, 10-K"
AMD,0000002488,546,1994-01-27,2026-07-01,"8-K, 10-Q, 10-K"
QCOM,0000804328,377,1996-05-13,2026-06-24,"8-K, 10-Q, 10-K"
TSLA,0001318605,308,2010-01-29,2026-04-23,"10-Q, 8-K, 10-K, S-1"
COIN,0001679788,85,2021-02-25,2026-06-18,"8-K, 10-Q, 10-K, S-1"
PYPL,0001633917,184,2015-07-01,2026-05-21,"8-K, 10-Q, 10-K"
NFLX,0001065280,308,2000-04-18,2026-06-05,"8-K, 10-Q, 10-K, S-1"
CRM,0001108524,371,2003-12-18,2026-06-02,"8-K, 10-Q, 10-K, S-1"
CRWD,0001535527,93,2019-05-14,2026-06-22,"8-K, 10-Q, 10-K, S-1"
PANW,0001327567,193,2012-04-06,2026-06-03,"10-Q, 8-K, 10-K, S-1"
PLTR,0001321655,67,2020-08-25,2026-06-09,"8-K, 10-Q, 10-K, S-1"
DDOG,0001561550,70,2019-08-23,2026-06-16,"8-K, 10-Q, 10-K, S-1"
SNOW,0001640147,66,2020-08-24,2026-06-30,"8-K, 10-Q, 10-K, S-1"
MDB,0001441816,101,2017-09-21,2026-05-29,"10-Q, 8-K, 10-K, S-1"
NOW,0001373715,181,2012-03-30,2026-05-22,"8-K, 10-Q, 10-K, S-1"
OKTA,0001660134,116,2017-03-13,2026-06-23,"8-K, 10-Q, 10-K, S-1"
INCY,0000879169,388,1996-05-15,2026-06-22,"8-K, 10-Q, 10-K"
PM,0001413329,436,2008-03-11,2026-06-29,"8-K, 10-Q, 10-K"
PINS,0001506293,98,2019-03-22,2026-05-26,"8-K, 10-Q, 10-K, S-1"
