ticker,signal,horizon,corr,pval,n,significant
NVO,sent_momentum,3,-0.2792,0.0029,112,True
PANW,sent_momentum,3,0.2384,0.011,113,True
PLTR,sent_momentum,1,0.2265,0.0154,114,True
CRWD,norm_sentiment,5,0.2046,0.0968,67,False
PM,norm_sentiment,2,0.1627,0.0398,160,True
COIN,sent_roll_7d,3,0.1124,0.0,4179,True
QCOM,sent_momentum,1,-0.1012,0.1945,166,False
MDB,sent_momentum,2,-0.0965,0.0528,403,False
PYPL,sent_momentum,7,-0.0939,0.1281,264,False
TSM,sent_momentum,3,0.0932,0.0867,339,False
DDOG,norm_sentiment,5,-0.0725,0.2281,278,False
CRM,norm_sentiment,1,-0.072,0.0254,964,True
GOOGL,sent_roll_5d,1,0.0705,0.0,4144,True
NVDA,sent_roll_3d,2,0.0667,0.0007,2598,True
AMD,norm_sentiment,5,-0.059,0.07,943,False
MSFT,norm_sentiment,2,0.057,0.009,2102,True
AAPL,sent_roll_3d,3,0.0565,0.0014,3198,True
NFLX,norm_sentiment,5,0.0539,0.11,881,False
META,norm_sentiment,1,0.0525,0.0163,2095,True
AMZN,sent_roll_7d,5,0.0513,0.0009,4182,True
OKTA,sent_roll_7d,3,-0.0461,0.0029,4169,True
INTC,norm_sentiment,1,0.0403,0.0846,1833,False
TSLA,sent_roll_7d,3,-0.0366,0.0185,4149,True
NOW,sent_roll_5d,1,0.0352,0.0246,4085,True
